plate,prev2,prev1,actual,pred1_1st,pred1_2nd,p_actual_1st,p_actual_2nd,correct_1st,correct_2nd
TN40DH9379,,CAM_10,CAM_12,CAM_30,CAM_30,0.0,0.0,False,False
TN31XB1269,CAM_01,CAM_11,CAM_27,CAM_02,CAM_02,0.29411764705882354,0.2978723404255319,False,False
TN27JZ8931,,CAM_17,CAM_30,CAM_30,CAM_30,0.6136363636363636,0.6136363636363636,True,True
TN33YU9501,CAM_21,CAM_11,CAM_02,CAM_02,CAM_02,0.4764705882352941,0.5454545454545454,True,True
TN09HG8349,,CAM_01,CAM_20,CAM_11,CAM_11,0.0,0.0,False,False
TN52BS3521,,CAM_02,CAM_16,CAM_22,CAM_22,0.0,0.0,False,False
TN32FZ4799,,CAM_05,CAM_27,CAM_10,CAM_10,0.0,0.0,False,False
TN27WZ6130,,CAM_01,CAM_14,CAM_11,CAM_11,0.0,0.0,False,False
TN75GQ1488,,CAM_29,CAM_16,CAM_27,CAM_27,0.0,0.0,False,False
TN58EW1969,,CAM_27,CAM_02,CAM_02,CAM_02,0.17073170731707318,0.17073170731707318,True,True
TN62QK6752,,CAM_14,CAM_10,CAM_01,CAM_01,0.13302752293577982,0.13302752293577982,False,False
TN32SR3492,CAM_17,CAM_30,CAM_03,CAM_20,CAM_20,0.0,0.0,False,False
TN76FQ3203,CAM_17,CAM_30,CAM_13,CAM_20,CAM_20,0.0,0.0,False,False
TN29BD3482,,CAM_01,CAM_23,CAM_11,CAM_11,0.0,0.0,False,False
TN30LB1712,,CAM_14,CAM_13,CAM_01,CAM_01,0.0,0.0,False,False
TN53UA1134,,CAM_04,CAM_01,CAM_15,CAM_15,0.0,0.0,False,False
TN57AP3888,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN18PG3095,,CAM_29,CAM_01,CAM_27,CAM_27,0.14285714285714285,0.14285714285714285,False,False
TN52ZH1220,,CAM_29,CAM_22,CAM_27,CAM_27,0.11904761904761904,0.11904761904761904,False,False
TN97VN2819,,CAM_06,CAM_23,CAM_11,CAM_11,0.0,0.0,False,False
TN50LT1861,,CAM_18,CAM_30,CAM_15,CAM_15,0.0,0.0,False,False
TN60FL9113,,CAM_22,CAM_27,CAM_14,CAM_14,0.11,0.11,False,False
TN73WC1252,,CAM_20,CAM_10,CAM_01,CAM_01,0.0,0.0,False,False
TN52QU8798,,CAM_20,CAM_22,CAM_01,CAM_01,0.11214953271028037,0.11214953271028037,False,False
TN37PS1720,,CAM_01,CAM_05,CAM_11,CAM_11,0.0,0.0,False,False
TN71WA3351,,CAM_04,CAM_15,CAM_15,CAM_15,0.23404255319148937,0.23404255319148937,True,True
TN67KA8653,,CAM_23,CAM_01,CAM_22,CAM_22,0.0,0.0,False,False
TN96RP6196,,CAM_03,CAM_13,CAM_27,CAM_27,0.0,0.0,False,False
TN79VM1496,,CAM_27,CAM_19,CAM_02,CAM_02,0.0,0.0,False,False
TN55SP1341,,CAM_27,CAM_03,CAM_02,CAM_02,0.0,0.0,False,False
TN15RU6960,,CAM_14,CAM_10,CAM_01,CAM_01,0.13302752293577982,0.13302752293577982,False,False
TN54TH9089,CAM_11,CAM_28,CAM_08,CAM_08,CAM_08,0.27419354838709675,0.27419354838709675,True,True
TN14HZ6044,CAM_17,CAM_30,CAM_27,CAM_20,CAM_20,0.11392405063291139,0.17647058823529413,False,False
TN29FQ7449,,CAM_20,CAM_01,CAM_01,CAM_01,0.14485981308411214,0.14485981308411214,True,True
TN67GW1580,,CAM_01,CAM_11,CAM_11,CAM_11,0.2534562211981567,0.2534562211981567,True,True
TN89SE4711,,CAM_19,CAM_14,CAM_10,CAM_10,0.08108108108108109,0.08108108108108109,False,False
TN55SB1572,CAM_02,CAM_28,CAM_08,CAM_08,CAM_06,0.27419354838709675,0.3333333333333333,True,False
TN62FF6008,,CAM_04,CAM_19,CAM_15,CAM_15,0.0,0.0,False,False
TN21EJ5102,,CAM_14,CAM_27,CAM_01,CAM_01,0.0,0.0,False,False
TN25UJ2879,,CAM_03,CAM_07,CAM_27,CAM_27,0.0,0.0,False,False
TN50FV9470,,CAM_23,CAM_29,CAM_22,CAM_22,0.0,0.0,False,False
TN12SK5761,CAM_12,CAM_30,CAM_20,CAM_20,CAM_20,0.25316455696202533,1.0,True,True
TN01VJ3602,,CAM_22,CAM_01,CAM_14,CAM_14,0.0,0.0,False,False
TN81QB2580,,CAM_12,CAM_10,CAM_15,CAM_15,0.0,0.0,False,False
TN78NB6688,,CAM_02,CAM_20,CAM_22,CAM_22,0.0,0.0,False,False
TN17BQ4730,,CAM_21,CAM_29,CAM_11,CAM_11,0.0,0.0,False,False
TN28NY6413,,CAM_02,CAM_22,CAM_22,CAM_22,0.6201550387596899,0.6201550387596899,True,True
TN47MJ5388,CAM_09,CAM_11,CAM_27,CAM_02,CAM_27,0.29411764705882354,0.5833333333333334,False,True
TN58ZK9931,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN45PJ5484,CAM_16,CAM_28,CAM_06,CAM_08,CAM_08,0.20161290322580644,0.0,False,False
TN23DX4055,,CAM_27,CAM_01,CAM_02,CAM_02,0.0,0.0,False,False
TN69AC4568,CAM_11,CAM_02,CAM_22,CAM_22,CAM_22,0.6201550387596899,1.0,True,True
TN75PT5091,,CAM_08,CAM_05,CAM_11,CAM_11,0.0,0.0,False,False
TN49FG5778,CAM_10,CAM_30,CAM_13,CAM_20,CAM_20,0.0,0.0,False,False
TN54QS1861,,CAM_08,CAM_19,CAM_11,CAM_11,0.0,0.0,False,False
TN08YS2218,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN73TW6164,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN93DT1565,,CAM_02,CAM_01,CAM_22,CAM_22,0.046511627906976744,0.046511627906976744,False,False
TN96XL1014,CAM_01,CAM_28,CAM_09,CAM_08,CAM_09,0.1693548387096774,0.42105263157894735,False,True
TN06UN7432,CAM_01,CAM_11,CAM_02,CAM_02,CAM_02,0.4764705882352941,0.6808510638297872,True,True
TN03YP3110,,CAM_16,CAM_20,CAM_20,CAM_20,0.1794871794871795,0.1794871794871795,True,True
TN17BP7699,,CAM_20,CAM_23,CAM_01,CAM_01,0.0,0.0,False,False
TN23SW6522,,CAM_14,CAM_20,CAM_01,CAM_01,0.0,0.0,False,False
TN92JQ6787,,CAM_16,CAM_20,CAM_20,CAM_20,0.1794871794871795,0.1794871794871795,True,True
TN36ZF7973,,CAM_10,CAM_15,CAM_30,CAM_30,0.0,0.0,False,False
TN80GG9645,CAM_10,CAM_30,CAM_01,CAM_20,CAM_20,0.11392405063291139,0.18604651162790697,False,False
TN27KB5772,,CAM_27,CAM_23,CAM_02,CAM_02,0.0,0.0,False,False
TN90MY6093,,CAM_18,CAM_04,CAM_15,CAM_15,0.0,0.0,False,False
TN39YT8783,,CAM_27,CAM_11,CAM_02,CAM_02,0.0,0.0,False,False
TN89GF3561,CAM_01,CAM_11,CAM_02,CAM_02,CAM_02,0.4764705882352941,0.6808510638297872,True,True
TN75UY6200,,CAM_20,CAM_28,CAM_01,CAM_01,0.0,0.0,False,False
TN79LG8683,,CAM_30,CAM_20,CAM_20,CAM_20,0.25316455696202533,0.25316455696202533,True,True
TN61UT6616,,CAM_05,CAM_16,CAM_10,CAM_10,0.0,0.0,False,False
