,CAM_01,CAM_02,CAM_03,CAM_04,CAM_05,CAM_06,CAM_07,CAM_08,CAM_09,CAM_10,CAM_11,CAM_12,CAM_13,CAM_14,CAM_15,CAM_16,CAM_17,CAM_18,CAM_19,CAM_20,CAM_21,CAM_22,CAM_23,CAM_24,CAM_25,CAM_26,CAM_27,CAM_28,CAM_29,CAM_30
CAM_01,0,1,2,5,8,0,2,0,0,35,74,5,1,25,0,6,6,1,1,25,4,0,6,10,4,4,5,32,7,5
CAM_02,7,0,2,0,0,0,2,0,0,4,1,3,0,4,0,3,1,1,0,6,2,102,2,2,2,3,8,6,0,1
CAM_03,2,0,0,1,1,0,5,0,0,2,0,3,1,8,0,1,2,0,0,3,1,6,2,2,0,2,7,6,1,0
CAM_04,3,0,1,0,0,0,3,0,0,6,0,1,0,4,14,2,1,0,2,3,0,4,1,1,0,2,5,2,1,1
CAM_05,4,0,1,1,0,1,0,1,1,7,0,1,1,4,0,1,0,0,2,6,0,2,1,0,2,1,6,1,2,0
CAM_06,8,0,1,0,0,0,0,0,1,3,22,0,1,7,0,0,0,0,2,6,0,0,4,1,0,1,0,5,0,0
CAM_07,2,2,1,1,0,0,0,0,0,7,0,0,1,4,8,2,2,0,3,2,0,3,1,0,0,1,6,2,2,8
CAM_08,4,0,1,0,2,1,0,0,1,1,15,0,3,9,1,0,0,1,1,8,1,0,2,3,0,0,1,0,0,2
CAM_09,4,2,1,5,0,1,1,0,0,6,16,0,2,3,0,0,0,0,1,3,2,0,1,1,0,0,0,2,2,2
CAM_10,10,1,1,4,1,2,7,0,1,0,2,2,2,28,4,2,6,1,2,9,1,10,3,9,5,3,4,0,4,175
CAM_11,6,93,0,0,2,0,1,0,0,9,0,1,0,6,0,0,1,3,0,3,0,1,3,1,1,0,64,5,1,0
CAM_12,4,0,1,1,2,0,0,0,0,4,0,0,1,5,14,0,0,0,1,3,2,14,2,0,1,1,6,2,2,7
CAM_13,6,1,2,0,0,0,0,0,0,2,9,0,0,9,0,0,2,0,1,2,4,0,0,0,0,0,0,5,0,1
CAM_14,46,5,5,5,5,4,8,8,9,35,6,4,5,0,2,2,10,2,6,27,4,24,8,5,5,0,25,3,7,4
CAM_15,18,2,1,0,2,2,0,0,0,1,12,0,0,3,0,1,1,0,0,2,1,3,0,0,0,0,6,19,1,1
CAM_16,6,1,1,0,2,0,1,0,0,3,1,0,2,6,0,0,1,2,0,10,0,8,1,3,1,2,1,3,1,1
CAM_17,1,0,0,1,0,1,1,0,0,7,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,34
CAM_18,2,0,1,1,0,0,1,0,0,4,2,0,2,8,14,2,1,0,1,2,0,5,0,1,0,2,5,3,0,2
CAM_19,6,1,2,0,2,0,1,0,3,8,1,2,0,5,1,1,0,0,0,2,0,3,2,0,0,0,4,0,0,0
CAM_20,41,5,5,4,5,8,5,3,5,30,3,5,4,37,0,3,7,4,7,0,0,30,9,4,6,2,25,5,6,3
CAM_21,8,2,0,2,0,0,1,0,1,2,21,1,2,5,0,1,2,0,0,4,0,0,1,0,1,0,0,0,3,0
CAM_22,19,2,6,5,6,1,3,1,0,22,4,4,5,34,0,5,6,6,8,25,5,0,7,6,4,3,29,19,6,5
CAM_23,5,3,1,2,3,0,0,0,0,5,1,2,0,2,8,1,0,0,0,3,0,10,0,2,2,1,2,6,2,1
CAM_24,3,4,0,2,0,0,0,1,0,6,2,0,1,4,2,0,1,2,1,2,0,0,0,0,0,0,5,5,1,2
CAM_25,2,0,1,3,1,0,3,0,0,5,0,0,0,5,15,1,0,2,2,2,0,5,0,1,0,2,2,1,1,10
CAM_26,7,2,2,1,1,1,1,3,0,3,0,2,0,4,1,2,1,2,0,2,2,9,0,2,0,0,11,0,1,1
CAM_27,22,44,7,3,4,1,6,0,0,21,4,1,11,34,0,7,5,2,5,25,6,1,3,6,7,4,0,25,1,1
CAM_28,5,0,1,4,2,32,3,40,31,6,17,0,0,5,0,0,1,1,1,5,0,0,1,0,0,0,0,0,1,0
CAM_29,10,2,1,1,1,0,2,0,0,6,1,1,2,7,0,1,1,1,0,2,1,7,0,2,0,0,10,2,0,0
CAM_30,22,5,6,0,6,5,0,3,8,3,4,1,11,3,0,8,4,2,1,49,4,18,2,0,1,3,21,2,7,0
