,CAM_01,CAM_02,CAM_03,CAM_04,CAM_05,CAM_06,CAM_07,CAM_08,CAM_09,CAM_10,CAM_11,CAM_12,CAM_13,CAM_14,CAM_15,CAM_16,CAM_17,CAM_18,CAM_19,CAM_20,CAM_21,CAM_22,CAM_23,CAM_24,CAM_25,CAM_26,CAM_27,CAM_28,CAM_29,CAM_30
CAM_01,0.0,0.0036,0.0073,0.0182,0.0292,0.0,0.0073,0.0,0.0,0.1277,0.2701,0.0182,0.0036,0.0912,0.0,0.0219,0.0219,0.0036,0.0036,0.0912,0.0146,0.0,0.0219,0.0365,0.0146,0.0146,0.0182,0.1168,0.0255,0.0182
CAM_02,0.0432,0.0,0.0123,0.0,0.0,0.0,0.0123,0.0,0.0,0.0247,0.0062,0.0185,0.0,0.0247,0.0,0.0185,0.0062,0.0062,0.0,0.037,0.0123,0.6296,0.0123,0.0123,0.0123,0.0185,0.0494,0.037,0.0,0.0062
CAM_03,0.0357,0.0,0.0,0.0179,0.0179,0.0,0.0893,0.0,0.0,0.0357,0.0,0.0536,0.0179,0.1429,0.0,0.0179,0.0357,0.0,0.0,0.0536,0.0179,0.1071,0.0357,0.0357,0.0,0.0357,0.125,0.1071,0.0179,0.0
CAM_04,0.0526,0.0,0.0175,0.0,0.0,0.0,0.0526,0.0,0.0,0.1053,0.0,0.0175,0.0,0.0702,0.2456,0.0351,0.0175,0.0,0.0351,0.0526,0.0,0.0702,0.0175,0.0175,0.0,0.0351,0.0877,0.0351,0.0175,0.0175
CAM_05,0.087,0.0,0.0217,0.0217,0.0,0.0217,0.0,0.0217,0.0217,0.1522,0.0,0.0217,0.0217,0.087,0.0,0.0217,0.0,0.0,0.0435,0.1304,0.0,0.0435,0.0217,0.0,0.0435,0.0217,0.1304,0.0217,0.0435,0.0
CAM_06,0.129,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0161,0.0484,0.3548,0.0,0.0161,0.1129,0.0,0.0,0.0,0.0,0.0323,0.0968,0.0,0.0,0.0645,0.0161,0.0,0.0161,0.0,0.0806,0.0,0.0
CAM_07,0.0345,0.0345,0.0172,0.0172,0.0,0.0,0.0,0.0,0.0,0.1207,0.0,0.0,0.0172,0.069,0.1379,0.0345,0.0345,0.0,0.0517,0.0345,0.0,0.0517,0.0172,0.0,0.0,0.0172,0.1034,0.0345,0.0345,0.1379
CAM_08,0.0702,0.0,0.0175,0.0,0.0351,0.0175,0.0,0.0,0.0175,0.0175,0.2632,0.0,0.0526,0.1579,0.0175,0.0,0.0,0.0175,0.0175,0.1404,0.0175,0.0,0.0351,0.0526,0.0,0.0,0.0175,0.0,0.0,0.0351
CAM_09,0.0727,0.0364,0.0182,0.0909,0.0,0.0182,0.0182,0.0,0.0,0.1091,0.2909,0.0,0.0364,0.0545,0.0,0.0,0.0,0.0,0.0182,0.0545,0.0364,0.0,0.0182,0.0182,0.0,0.0,0.0,0.0364,0.0364,0.0364
CAM_10,0.0334,0.0033,0.0033,0.0134,0.0033,0.0067,0.0234,0.0,0.0033,0.0,0.0067,0.0067,0.0067,0.0936,0.0134,0.0067,0.0201,0.0033,0.0067,0.0301,0.0033,0.0334,0.01,0.0301,0.0167,0.01,0.0134,0.0,0.0134,0.5853
CAM_11,0.0299,0.4627,0.0,0.0,0.01,0.0,0.005,0.0,0.0,0.0448,0.0,0.005,0.0,0.0299,0.0,0.0,0.005,0.0149,0.0,0.0149,0.0,0.005,0.0149,0.005,0.005,0.0,0.3184,0.0249,0.005,0.0
CAM_12,0.0548,0.0,0.0137,0.0137,0.0274,0.0,0.0,0.0,0.0,0.0548,0.0,0.0,0.0137,0.0685,0.1918,0.0,0.0,0.0,0.0137,0.0411,0.0274,0.1918,0.0274,0.0,0.0137,0.0137,0.0822,0.0274,0.0274,0.0959
CAM_13,0.1364,0.0227,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0455,0.2045,0.0,0.0,0.2045,0.0,0.0,0.0455,0.0,0.0227,0.0455,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.1136,0.0,0.0227
